id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
403,msg35831580,https://bitcointalk.org/index.php?topic=3248955.0,,3369,Announcements (Altcoins),2018-04-28 23:02:30,Zuhran,Member,224,10,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"th. Do you provide an opportunity to win a car? an unusual approach. Tell me, is your white paper translated into other languages? I was interested in the project, I thought that this is not possible in the near future",False
404,msg35908079,https://bitcointalk.org/index.php?topic=3248955.0,msg35354665,3369,Announcements (Altcoins),2018-04-29 21:04:18,hazenyc,Sr. Member,537,250,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"   It is for the government to know who owns what and who moves what even if you do KYC, why are you safe from ETERBANK running off with your money?",False
405,msg35943503,https://bitcointalk.org/index.php?topic=3248955.0,msg35831580,3369,Announcements (Altcoins),2018-04-30 10:20:07,Eterbank,Member,143,10,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,   The whitepaper is being translated through the bounty campaign found at: https://bitcointalk.org/index.php?topic=3249010.msg33833904#msg33833904,False
406,msg35943588,https://bitcointalk.org/index.php?topic=3248955.0,msg35908079,3369,Announcements (Altcoins),2018-04-30 10:21:47,Eterbank,Member,143,10,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,   In our opinion safety is best deducted through team transparency and professional background.,False
407,msg35992469,https://bitcointalk.org/index.php?topic=3248955.0,msg35943588,3369,Announcements (Altcoins),2018-04-30 23:32:53,hazenyc,Sr. Member,537,250,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,   Transparency is the lifeblood of such a system and you should do everything you can to deliver it.,False
408,msg36023019,https://bitcointalk.org/index.php?topic=3248955.0,,3369,Announcements (Altcoins),2018-05-01 11:01:04,green0153,Newbie,2,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,i bought tokens when can i expect them,False
409,msg36023291,https://bitcointalk.org/index.php?topic=3248955.0,msg36023019,3369,Announcements (Altcoins),2018-05-01 11:05:07,Eterbank,Member,143,10,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,   Please provide us with 24 hours max to process your order.thank you,False
410,msg35202419,https://bitcointalk.org/index.php?topic=3248955.0,msg35200562,3369,Announcements (Altcoins),2018-04-20 22:00:55,Relentless1020,Newbie,126,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"   Actually you're right. There are some things that we need to explore more on the project, and by curiousity we're able to address those things by questioning the Devs.",False
411,msg35256527,https://bitcointalk.org/index.php?topic=3248955.0,msg35199218,3369,Announcements (Altcoins),2018-04-21 17:37:48,richelle87,Newbie,210,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"   You're right bud, I think every ICO needs to have KYC in order for them to know who are the people involved on the platform.",False
412,msg35260138,https://bitcointalk.org/index.php?topic=3248955.0,msg35202419,3369,Announcements (Altcoins),2018-04-21 18:35:56,yuisefb8,Newbie,196,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,   Curiousity makes a person more aware and make good questions that tests the ability of the devs to answer their inquiries.,False
413,msg35262469,https://bitcointalk.org/index.php?topic=3248955.0,msg35177412,3369,Announcements (Altcoins),2018-04-21 19:14:05,frenkelebre,Jr. Member,392,2,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,    Absolutely. White paper provides all the information you need to understand the platform. Projects usually release their white paper first so that investors will see the plan and the goals of the project.,False
414,msg35272641,https://bitcointalk.org/index.php?topic=3248955.0,msg35260138,3369,Announcements (Altcoins),2018-04-21 23:02:55,shikon_shard,Jr. Member,128,1,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"  I agree with you too sir, but they need to limit their curiosity too, because it might go beyond the expected and will not tackle anymore things related to the project. I'm trying to say that a person can be curious but careful too.",False
415,msg35272912,https://bitcointalk.org/index.php?topic=3248955.0,msg35199908,3369,Announcements (Altcoins),2018-04-21 23:11:02,buldogers,Jr. Member,228,2,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"  Actually this is good thought of yours recsoninlight, we can't really depend on the security implemented on this project, but the only thing we can depend and trust fully is our self, being able to identify and will not entertain people with bad intentions.",False
416,msg35273186,https://bitcointalk.org/index.php?topic=3248955.0,msg35272912,3369,Announcements (Altcoins),2018-04-21 23:18:55,recsoninlight,Jr. Member,162,1,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"  Thanks for appreciating my idea, it will be more secure I think, if the security they will implement here will be very efficient with the addition of the user being able to be very aware of what is currently happening while using ETERBANK.",False
417,msg35273602,https://bitcointalk.org/index.php?topic=3248955.0,,3369,Announcements (Altcoins),2018-04-21 23:30:04,strelok25,Full Member,350,100,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"What is the main concept of your project Eterbank, what financial services will be presented on your platform for users? Will it be possible to pay for services and goods in the cryptocurrency through Eterbank, when will the mobile application be available for use?",False
418,msg35274427,https://bitcointalk.org/index.php?topic=3248955.0,msg35272641,3369,Announcements (Altcoins),2018-04-22 00:00:37,tophe15,Newbie,280,0,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,"  Yes, it can have both positive and negative effects towards the user asking and to the project developing. If it will done properly, no doubt that it can greatly help a lot the project, ETERBANK.",False
419,msg35315315,https://bitcointalk.org/index.php?topic=3248955.0,msg34872711,3369,Announcements (Altcoins),2018-04-22 13:48:32,hazenyc,Sr. Member,537,250,,🔥 [ANN][ICO] ETERBANK.COM | Crypto to FIAT Retail POS | Presale live🔥,   If you are going ways that involve banks and so on you will have to do KYC or if you are incorporated in a jurisdiction with strong regulation. There is no way around it yet.,False
